sequence,frames_pure,frames_update,auc_pure,auc_update,auc_delta,success50_pure,success50_update,success50_delta,precision20_pure,precision20_update,precision20_delta,fps_pure,fps_update,fps_delta
Freeman4,283,283,0.155212,0.159452,0.004240,0.840989,0.837456,-0.003533,0.204947,0.346290,0.141343,78.600352,19.836537,-58.763815
Girl,500,500,0.660850,0.554350,-0.106500,0.118000,0.326000,0.208000,1.000000,0.870000,-0.130000,34.538338,43.256941,8.718603
Girl2,1500,1500,0.078950,0.331950,0.253000,0.930667,0.826667,-0.104000,0.070000,0.654667,0.584667,23.251497,29.325812,6.074315
Gym,767,767,0.295502,0.260952,-0.034550,0.975228,0.984355,0.009127,0.970013,0.966102,-0.003911,42.552331,46.167026,3.614695
Human2,1128,1128,0.352549,0.581627,0.229078,0.701241,0.353723,-0.347518,0.485816,0.278369,-0.207447,40.805154,46.935093,6.129939
Human3,1698,1698,0.247100,0.041564,-0.205536,0.674912,0.985277,0.310365,0.365135,0.031802,-0.333333,67.103005,90.203375,23.100370
Human4_2,667,667,0.571214,0.575112,0.003898,0.181409,0.167916,-0.013493,0.863568,0.862069,-0.001499,31.427479,36.502869,5.075390
Human5,713,713,0.376718,0.376017,-0.000701,0.657784,0.657784,0.000000,0.994390,0.995792,0.001402,30.876962,33.265934,2.388972
Human6,792,792,0.283302,0.277620,-0.005682,0.773990,0.773990,0.000000,0.810606,0.662879,-0.147727,40.019430,46.717018,6.697588
Human7,250,250,0.766500,0.721700,-0.044800,0.004000,0.008000,0.004000,1.000000,1.000000,0.000000,35.804769,36.664647,0.859878
Human8,128,128,0.531055,0.672461,0.141406,0.617188,0.000000,-0.617188,1.000000,1.000000,0.000000,39.022701,40.997336,1.974635
Human9,305,305,0.421803,0.170984,-0.250819,0.714754,0.901639,0.186885,1.000000,0.314754,-0.685246,37.843522,40.934815,3.091293
Ironman,166,166,0.104066,0.122741,0.018675,0.909639,0.891566,-0.018073,0.114458,0.138554,0.024096,39.798790,32.743421,-7.055369
Jogging,307,307,0.595765,0.604235,0.008470,0.058632,0.081433,0.022801,0.977199,0.977199,0.000000,30.094104,35.558227,5.464123
Jogging_1,307,307,0.595765,0.604235,0.008470,0.058632,0.081433,0.022801,0.977199,0.977199,0.000000,29.965572,32.769862,2.804290
Jogging_2,307,307,0.730945,0.155375,-0.575570,0.000000,0.824104,0.824104,1.000000,0.172638,-0.827362,28.894339,35.709109,6.814770
Jump,122,122,0.074590,0.075205,0.000615,0.942623,0.942623,0.000000,0.057377,0.057377,0.000000,22.692291,29.043862,6.351571
Jumping,313,313,0.670607,0.731070,0.060463,0.012780,0.000000,-0.012780,0.990415,1.000000,0.009585,56.772203,66.801579,10.029376
KiteSurf,84,84,0.334821,0.303274,-0.031547,0.619048,0.666667,0.047619,0.404762,0.333333,-0.071429,41.156653,35.838459,-5.318194
Lemming,1336,1336,0.457541,0.229323,-0.228218,0.641467,0.753743,0.112276,0.797156,0.274701,-0.522455,29.122023,33.903860,4.781837
Liquor,1741,1741,0.337938,0.681333,0.343395,0.573234,0.228030,-0.345204,0.428489,0.846640,0.418151,34.253514,38.558213,4.304699
Man,134,134,0.850933,0.851866,0.000933,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,69.663225,102.031671,32.368446
Matrix,100,100,0.035250,0.035750,0.000500,0.990000,0.990000,0.000000,0.010000,0.010000,0.000000,66.629248,87.128916,20.499668
Mhyang,1490,1490,0.794077,0.573591,-0.220486,0.000671,0.430201,0.429530,1.000000,1.000000,0.000000,62.852713,58.957373,-3.895340
MotorRolling,164,164,0.106555,0.103201,-0.003354,0.920732,0.926829,0.006097,0.054878,0.048780,-0.006098,26.792651,30.128148,3.335497
MountainBike,228,228,0.563925,0.714145,0.150220,0.337719,0.000000,-0.337719,1.000000,1.000000,0.000000,31.426486,31.743786,0.317300
Panda,1000,1000,0.365025,0.365000,-0.000025,0.702000,0.696000,-0.006000,0.781000,0.784000,0.003000,39.757454,44.729401,4.971947
RedTeam,1918,1918,0.517505,0.504106,-0.013399,0.372263,0.594369,0.222106,1.000000,1.000000,0.000000,35.933789,36.264232,0.330443
Rubik,1997,1997,0.370443,0.470318,0.099875,0.837757,0.739609,-0.098148,0.322484,0.274412,-0.048072,50.856356,58.157079,7.300723
Shaking,365,365,0.037260,0.736027,0.698767,0.986301,0.065753,-0.920548,0.013699,0.934247,0.920548,113.073250,79.219924,-33.853326
Singer1,351,351,0.807123,0.850855,0.043732,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,26.406639,31.571970,5.165331
