sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.6696,0.6231,0.2138,0.3117,0.8593,0.8883,51.0948,57.5185,0.0465
Biker,142,0.2720,0.2717,0.7465,0.7465,0.4648,0.4648,49.1667,51.6340,0.0004
Bird1,408,0.0458,0.0458,0.9730,0.9730,0.0270,0.0270,302.3739,354.0385,0.0000
Bird2,99,0.6111,0.5823,0.4444,0.4141,0.5556,0.5960,41.1102,47.0145,0.0288
BlurBody,334,0.6652,0.6659,0.0479,0.0659,0.9820,0.9850,31.5429,33.0343,-0.0007
BlurCar1,742,0.7237,0.1875,0.0081,0.7412,0.9960,0.2574,34.7229,41.4153,0.5362
BlurCar2,585,0.8207,0.8347,0.0000,0.0000,1.0000,1.0000,33.1217,36.8747,-0.0140
BlurCar3,357,0.8460,0.6887,0.0028,0.0588,0.9972,0.9440,44.9586,55.8155,0.1573
BlurCar4,380,0.8571,0.7889,0.0000,0.0000,1.0000,1.0000,30.3721,31.5689,0.0682
BlurFace,493,0.7789,0.7747,0.0000,0.0000,1.0000,1.0000,35.8498,40.4490,0.0042
BlurOwl,631,0.8044,0.8224,0.0111,0.0048,0.9952,0.9968,42.4995,48.7668,-0.0180
Board,698,0.6010,0.4125,0.2980,0.7163,0.7020,0.6848,23.3847,31.8950,0.1885
Bolt,350,0.5284,0.5896,0.4829,0.0171,1.0000,1.0000,58.1455,63.1272,-0.0613
Bolt2,293,0.0352,0.0352,0.9898,0.9898,0.0171,0.0171,73.8119,86.7937,0.0000
Box,1161,0.3391,0.3387,0.6047,0.6047,0.3953,0.3953,37.0777,43.5518,0.0004
Boy,602,0.8004,0.8050,0.0150,0.0266,1.0000,1.0000,71.1472,78.2082,-0.0046
Car1,1020,0.4221,0.4478,0.7892,0.7127,1.0000,1.0000,57.9621,63.2088,-0.0257
Car2,913,0.8415,0.8862,0.0000,0.0000,1.0000,1.0000,60.2972,66.1166,-0.0447
Car24,3059,0.4343,0.4339,0.8274,0.8274,1.0000,1.0000,82.1497,89.2652,0.0005
