sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.5892,0.4911,0.7200,0.6345,1.0000,0.8676,14.4231,15.7789,0.0981
Biker,142,0.2673,0.2717,0.2535,0.2535,0.4437,0.4648,42.7474,30.4501,-0.0044
Bird1,408,0.1703,0.0710,0.1029,0.0441,0.3431,0.0882,44.2638,128.1974,0.0993
Bird2,99,0.5965,0.6116,0.5253,0.5859,0.5354,0.5859,19.0633,16.2493,-0.0151
BlurBody,334,0.5010,0.6375,0.6647,0.8443,0.6587,0.9701,11.7585,8.0211,-0.1365
BlurCar1,742,0.8284,0.8574,0.9946,0.9987,0.9933,0.9960,17.3254,14.7125,-0.0290
BlurCar2,585,0.8159,0.8224,0.9521,0.9846,1.0000,0.9932,23.1852,18.7441,-0.0065
BlurCar3,357,0.8132,0.8452,0.9944,0.9972,0.9944,0.9972,38.2870,25.7140,-0.0320
BlurCar4,380,0.8521,0.7259,1.0000,0.9947,1.0000,1.0000,11.7554,9.0931,0.1262
BlurFace,493,0.7377,0.7718,0.9899,1.0000,0.9899,1.0000,17.4313,13.6548,-0.0341
BlurOwl,631,0.2336,0.7763,0.2726,0.9921,0.2773,0.9921,21.2753,18.4627,-0.5427
Board,698,0.6283,0.5872,0.7020,0.7034,0.6977,0.7034,34.5187,18.0152,0.0411
Bolt,350,0.6094,0.6469,0.9714,0.9914,1.0000,1.0000,26.1112,19.1757,-0.0375
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,13.2745,28.1735,-0.0000
Box,1161,0.3021,0.3247,0.3247,0.3936,0.3953,0.3953,20.0813,15.7902,-0.0226
Boy,602,0.3640,0.7946,0.4269,0.9734,0.4269,1.0000,63.7158,39.1530,-0.4306
Car1,1020,0.5304,0.4040,0.4176,0.2225,1.0000,1.0000,16.0877,25.0264,0.1264
Car2,913,0.8110,0.4062,1.0000,0.4206,1.0000,0.4206,23.6208,25.9541,0.4048
Car24,3059,0.3576,0.4339,0.1550,0.1726,1.0000,1.0000,80.5995,43.6434,-0.0763
Car4,659,0.6728,0.8237,0.9742,1.0000,1.0000,1.0000,66.4625,55.1548,-0.1509
CarDark,393,0.8878,0.8889,1.0000,1.0000,1.0000,1.0000,25.0424,20.0367,-0.0011
CarScale,252,0.6120,0.6668,0.6746,0.7103,0.7222,0.7302,50.7467,32.1251,-0.0548
ClifBar,472,0.2705,0.4540,0.2331,0.3919,0.4513,0.8093,55.2266,42.1343,-0.1835
Coke,291,0.5451,0.5350,0.7010,0.6220,0.9381,0.9175,26.7200,22.8003,0.0101
Couple,140,0.6420,0.6520,0.7786,0.7857,1.0000,1.0000,47.6446,31.7035,-0.0100
Coupon,327,0.6502,0.9162,0.9144,1.0000,1.0000,1.0000,25.7228,21.3122,-0.2660
Crossing,120,0.7077,0.7152,0.9500,0.9667,1.0000,1.0000,61.7486,37.2357,-0.0075
Crowds,347,0.7104,0.6297,0.9164,0.9827,1.0000,1.0000,49.8327,31.9730,0.0807
Dancer,225,0.7304,0.7161,1.0000,1.0000,1.0000,1.0000,27.1680,24.5583,0.0143
Dancer2,150,0.7525,0.7170,1.0000,1.0000,1.0000,1.0000,24.1917,20.3233,0.0355
David,471,0.2476,0.2495,0.1125,0.1104,0.2484,0.2484,27.4048,21.9689,-0.0019
David2,537,0.7580,0.7392,1.0000,0.8883,1.0000,1.0000,69.3097,58.4827,0.0188
David3,252,0.7497,0.7779,1.0000,1.0000,1.0000,1.0000,28.6405,21.3937,-0.0282
Deer,71,0.5711,0.8085,0.7887,1.0000,0.7887,1.0000,24.2028,19.0593,-0.2374
Diving,215,0.3688,0.2667,0.1860,0.1860,0.6372,0.3907,27.8492,34.6846,0.1021
Dog,127,0.5386,0.4850,0.6772,0.3858,1.0000,1.0000,29.6386,23.6396,0.0536
Dog1,1350,0.7083,0.7019,0.9548,0.9993,0.9852,1.0000,47.9043,40.3674,0.0064
Doll,3872,0.4072,0.7413,0.3453,0.9930,0.7559,0.9876,38.3913,29.9605,-0.3341
DragonBaby,113,0.1398,0.1332,0.0796,0.1239,0.0885,0.1327,70.1867,154.4501,0.0066
Dudek,1145,0.7106,0.7834,0.9572,0.9904,0.6690,0.8262,62.6754,33.8906,-0.0728
FaceOcc1,892,0.5451,0.5716,0.6031,0.6906,0.5460,0.7074,25.6082,13.2182,-0.0265
FaceOcc2,812,0.7418,0.7096,0.9988,0.9138,0.9975,1.0000,30.1712,23.2237,0.0322
Fish,476,0.8071,0.7827,1.0000,1.0000,1.0000,1.0000,30.7560,25.9358,0.0244
FleetFace,707,0.4810,0.5901,0.5332,0.6322,0.4328,0.5601,32.5126,23.2908,-0.1091
Football,362,0.7063,0.5855,0.9558,0.7845,0.9972,0.7928,45.9704,34.6734,0.1208
Football1,74,0.4557,0.7899,0.5270,1.0000,0.5270,1.0000,52.7945,33.3890,-0.3342
Freeman1,326,0.2245,0.2209,0.1626,0.1534,0.3681,0.3804,30.9313,37.2570,0.0036
Freeman3,460,0.3414,0.3536,0.3000,0.3304,0.7913,0.9043,36.3431,34.1201,-0.0122
Freeman4,283,0.1811,0.1552,0.1873,0.1590,0.4064,0.2049,22.5583,74.8015,0.0259
Girl,500,0.5722,0.6610,0.6080,0.8880,1.0000,1.0000,44.2067,27.9667,-0.0888
Girl2,1500,0.0796,0.0790,0.0707,0.0693,0.0700,0.0700,28.7193,20.0381,0.0006
Gym,767,0.2943,0.2955,0.0209,0.0248,0.9752,0.9700,33.6220,28.2151,-0.0012
Human2,1128,0.5569,0.3525,0.5612,0.2988,0.2704,0.4858,24.0332,19.7037,0.2044
Human3,1698,0.1979,0.2471,0.1885,0.3251,0.3610,0.3651,31.7314,24.9708,-0.0492
Human4_2,667,0.5768,0.5712,0.8321,0.8186,0.8666,0.8636,55.7288,39.1329,0.0056
Human5,713,0.3376,0.3767,0.3436,0.3450,0.5708,0.9944,71.2348,44.4889,-0.0391
Human6,792,0.2288,0.2834,0.2260,0.2260,0.3270,0.8106,38.5047,29.6463,-0.0546
Human7,250,0.6595,0.7665,0.9440,0.9960,0.9840,1.0000,28.8373,23.1589,-0.1070
Human8,128,0.4994,0.5318,0.2812,0.3828,1.0000,1.0000,28.9630,24.0849,-0.0324
Human9,305,0.5608,0.4218,0.5607,0.2852,1.0000,1.0000,28.7456,23.4606,0.1390
Ironman,166,0.3285,0.1041,0.3855,0.0904,0.4157,0.1145,29.3697,30.9431,0.2244
