sequence,frames,auc,success50,precision20,fps
Basketball,725,0.4911,0.6345,0.8676,15.7789
Biker,142,0.2717,0.2535,0.4648,30.4501
Bird1,408,0.0710,0.0441,0.0882,128.1974
Bird2,99,0.6116,0.5859,0.5859,16.2493
BlurBody,334,0.6375,0.8443,0.9701,8.0211
BlurCar1,742,0.8574,0.9987,0.9960,14.7125
BlurCar2,585,0.8224,0.9846,0.9932,18.7441
BlurCar3,357,0.8452,0.9972,0.9972,25.7140
BlurCar4,380,0.7259,0.9947,1.0000,9.0931
BlurFace,493,0.7718,1.0000,1.0000,13.6548
BlurOwl,631,0.7763,0.9921,0.9921,18.4627
Board,698,0.5872,0.7034,0.7034,18.0152
Bolt,350,0.6469,0.9914,1.0000,19.1757
Bolt2,293,0.0352,0.0102,0.0171,28.1735
Box,1161,0.3247,0.3936,0.3953,15.7902
Boy,602,0.7946,0.9734,1.0000,39.1530
Car1,1020,0.4040,0.2225,1.0000,25.0264
Car2,913,0.4062,0.4206,0.4206,25.9541
Car24,3059,0.4339,0.1726,1.0000,43.6434
Car4,659,0.8237,1.0000,1.0000,55.1548
CarDark,393,0.8889,1.0000,1.0000,20.0367
CarScale,252,0.6668,0.7103,0.7302,32.1251
ClifBar,472,0.4540,0.3919,0.8093,42.1343
Coke,291,0.5350,0.6220,0.9175,22.8003
Couple,140,0.6520,0.7857,1.0000,31.7035
Coupon,327,0.9162,1.0000,1.0000,21.3122
Crossing,120,0.7152,0.9667,1.0000,37.2357
Crowds,347,0.6297,0.9827,1.0000,31.9730
Dancer,225,0.7161,1.0000,1.0000,24.5583
Dancer2,150,0.7170,1.0000,1.0000,20.3233
David,471,0.2495,0.1104,0.2484,21.9689
David2,537,0.7392,0.8883,1.0000,58.4827
David3,252,0.7779,1.0000,1.0000,21.3937
Deer,71,0.8085,1.0000,1.0000,19.0593
Diving,215,0.2667,0.1860,0.3907,34.6846
Dog,127,0.4850,0.3858,1.0000,23.6396
Dog1,1350,0.7019,0.9993,1.0000,40.3674
Doll,3872,0.7413,0.9930,0.9876,29.9605
DragonBaby,113,0.1332,0.1239,0.1327,154.4501
Dudek,1145,0.7834,0.9904,0.8262,33.8906
FaceOcc1,892,0.5716,0.6906,0.7074,13.2182
FaceOcc2,812,0.7096,0.9138,1.0000,23.2237
Fish,476,0.7827,1.0000,1.0000,25.9358
FleetFace,707,0.5901,0.6322,0.5601,23.2908
Football,362,0.5855,0.7845,0.7928,34.6734
Football1,74,0.7899,1.0000,1.0000,33.3890
Freeman1,326,0.2209,0.1534,0.3804,37.2570
Freeman3,460,0.3536,0.3304,0.9043,34.1201
Freeman4,283,0.1552,0.1590,0.2049,74.8015
Girl,500,0.6610,0.8880,1.0000,27.9667
Girl2,1500,0.0790,0.0693,0.0700,20.0381
Gym,767,0.2955,0.0248,0.9700,28.2151
Human2,1128,0.3525,0.2988,0.4858,19.7037
Human3,1698,0.2471,0.3251,0.3651,24.9708
Human4_2,667,0.5712,0.8186,0.8636,39.1329
Human5,713,0.3767,0.3450,0.9944,44.4889
Human6,792,0.2834,0.2260,0.8106,29.6463
Human7,250,0.7665,0.9960,1.0000,23.1589
Human8,128,0.5318,0.3828,1.0000,24.0849
Human9,305,0.4218,0.2852,1.0000,23.4606
Ironman,166,0.1041,0.0904,0.1145,30.9431
Jogging,307,0.5958,0.9414,0.9772,20.9920
Jump,122,0.0746,0.0574,0.0574,18.0221
Jumping,313,0.6706,0.9872,0.9904,48.8874
KiteSurf,84,0.3348,0.3810,0.4048,18.5154
Lemming,1336,0.4575,0.3593,0.7972,14.7718
Liquor,1741,0.3379,0.4268,0.4285,27.1327
Man,134,0.8509,1.0000,1.0000,62.5689
Matrix,100,0.0353,0.0100,0.0100,20.8181
Mhyang,1490,0.7941,0.9993,1.0000,16.8797
MotorRolling,164,0.1066,0.0793,0.0549,19.7710
MountainBike,228,0.5641,0.6623,1.0000,24.2251
Panda,1000,0.3651,0.3010,0.7810,16.8727
RedTeam,1918,0.5175,0.6277,1.0000,22.0966
Rubik,1997,0.3704,0.1622,0.3225,47.6778
Shaking,365,0.0373,0.0137,0.0137,97.5707
Singer1,351,0.8071,1.0000,1.0000,10.6657
Singer2,366,0.0599,0.0355,0.0355,14.8896
Skater,160,0.6131,0.8500,0.9938,17.1350
Skater2,435,0.5459,0.6207,0.6414,16.6937
Skating1,400,0.3182,0.4300,0.4500,16.2586
Skating2_1,473,0.3331,0.2791,0.4059,11.3968
Skating2_2,473,0.5091,0.5560,0.4292,13.6276
Skiing,81,0.0821,0.0617,0.0988,21.5663
Soccer,392,0.1765,0.1327,0.1327,11.0813
Subway,175,0.6854,0.9943,1.0000,27.4416
Surfer,376,0.5220,0.4521,1.0000,21.0876
Suv,945,0.2373,0.0698,0.5280,21.0012
Sylvester,1345,0.4024,0.1323,0.9264,15.6305
Tiger1,354,0.7622,0.9746,0.9463,18.2487
Tiger2,365,0.4408,0.4082,0.4904,23.9046
Toy,271,0.4183,0.4649,0.6421,38.5009
Trans,124,0.5240,0.3952,0.3710,7.1676
Trellis,569,0.5960,0.8436,1.0000,13.6495
Twinnings,472,0.7114,0.8814,0.8898,18.9814
Vase,271,0.3625,0.1845,0.6790,19.4814
Walking,412,0.6723,0.9782,1.0000,26.0690
Walking2,500,0.8049,1.0000,1.0000,21.6569
Woman,597,0.6679,0.9179,1.0000,20.4345
OVERALL,58733,0.5117,0.5693,0.7562,22.6195
