sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.5892,0.4911,0.7200,0.6345,1.0000,0.8676,15.5153,15.0783,0.0981
Biker,142,0.2673,0.2717,0.2535,0.2535,0.4437,0.4648,41.8727,31.8613,-0.0044
Bird1,408,0.1703,0.0710,0.1029,0.0441,0.3431,0.0882,45.2814,131.1779,0.0993
Bird2,99,0.5965,0.6116,0.5253,0.5859,0.5354,0.5859,19.2707,16.1350,-0.0152
BlurBody,334,0.5010,0.6375,0.6647,0.8443,0.6587,0.9701,13.5673,8.1973,-0.1365
BlurCar1,742,0.8284,0.8574,0.9946,0.9987,0.9933,0.9960,18.0320,14.5266,-0.0290
BlurCar2,585,0.8159,0.8224,0.9521,0.9846,1.0000,0.9932,22.9571,17.7083,-0.0065
BlurCar3,357,0.8132,0.8452,0.9944,0.9972,0.9944,0.9972,33.8486,26.3878,-0.0319
BlurCar4,380,0.8521,0.7259,1.0000,0.9947,1.0000,1.0000,13.7121,9.2540,0.1262
BlurFace,493,0.7377,0.7718,0.9899,1.0000,0.9899,1.0000,17.8711,13.4054,-0.0341
BlurOwl,631,0.2336,0.7763,0.2726,0.9921,0.2773,0.9921,21.1380,17.5242,-0.5428
Board,698,0.6283,0.5872,0.7020,0.7034,0.6977,0.7034,33.2940,18.9284,0.0411
Bolt,350,0.6094,0.6469,0.9714,0.9914,1.0000,1.0000,24.1887,17.7646,-0.0376
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,13.4603,27.7719,0.0000
Box,1161,0.3021,0.3247,0.3247,0.3936,0.3953,0.3953,19.7624,15.2685,-0.0226
Boy,602,0.3640,0.7946,0.4269,0.9734,0.4269,1.0000,58.6711,39.2950,-0.4306
Car1,1020,0.5304,0.4040,0.4176,0.2225,1.0000,1.0000,17.6306,15.8804,0.1264
Car2,913,0.8110,0.4062,1.0000,0.4206,1.0000,0.4206,22.4094,19.4961,0.4048
Car24,3059,0.3576,0.4339,0.1550,0.1726,1.0000,1.0000,71.6730,55.4646,-0.0764
Car4,659,0.6728,0.8237,0.9742,1.0000,1.0000,1.0000,69.6868,56.6484,-0.1510
CarDark,393,0.8878,0.8889,1.0000,1.0000,1.0000,1.0000,25.7681,22.1407,-0.0011
CarScale,252,0.6120,0.6668,0.6746,0.7103,0.7222,0.7302,50.0709,34.8532,-0.0548
ClifBar,472,0.2705,0.4540,0.2331,0.3919,0.4513,0.8093,54.0722,45.9533,-0.1835
Coke,291,0.5451,0.5350,0.7010,0.6220,0.9381,0.9175,26.0609,21.3284,0.0101
Couple,140,0.6420,0.6520,0.7786,0.7857,1.0000,1.0000,49.5146,35.5032,-0.0100
Coupon,327,0.6502,0.9162,0.9144,1.0000,1.0000,1.0000,27.2221,23.6303,-0.2660
Crossing,120,0.7077,0.7152,0.9500,0.9667,1.0000,1.0000,61.3356,42.5386,-0.0075
Crowds,347,0.7104,0.6297,0.9164,0.9827,1.0000,1.0000,48.3093,36.7027,0.0807
Dancer,225,0.7304,0.7161,1.0000,1.0000,1.0000,1.0000,26.8306,23.6550,0.0143
Dancer2,150,0.7525,0.7170,1.0000,1.0000,1.0000,1.0000,26.9940,21.3500,0.0355
David,471,0.2476,0.2495,0.1125,0.1104,0.2484,0.2484,26.0859,21.4606,-0.0019
David2,537,0.7580,0.7392,1.0000,0.8883,1.0000,1.0000,69.1851,59.6344,0.0187
David3,252,0.7497,0.7779,1.0000,1.0000,1.0000,1.0000,29.3300,22.7781,-0.0282
Deer,71,0.5711,0.8085,0.7887,1.0000,0.7887,1.0000,29.5989,23.2333,-0.2373
Diving,215,0.3688,0.2667,0.1860,0.1860,0.6372,0.3907,29.4636,40.3731,0.1021
Dog,127,0.5386,0.4850,0.6772,0.3858,1.0000,1.0000,30.5608,24.7276,0.0535
Dog1,1350,0.7083,0.7019,0.9548,0.9993,0.9852,1.0000,47.0563,41.0992,0.0064
Doll,3872,0.4072,0.7413,0.3453,0.9930,0.7559,0.9876,37.5483,29.1038,-0.3341
DragonBaby,113,0.1398,0.1332,0.0796,0.1239,0.0885,0.1327,66.8237,125.0602,0.0066
Dudek,1145,0.7106,0.7834,0.9572,0.9904,0.6690,0.8262,64.4236,31.6760,-0.0729
FaceOcc1,892,0.5451,0.5716,0.6031,0.6906,0.5460,0.7074,26.6256,15.2988,-0.0265
FaceOcc2,812,0.7418,0.7096,0.9988,0.9138,0.9975,1.0000,29.7704,23.7946,0.0322
Fish,476,0.8071,0.7827,1.0000,1.0000,1.0000,1.0000,29.6573,24.6081,0.0245
FleetFace,707,0.4810,0.5901,0.5332,0.6322,0.4328,0.5601,33.5348,21.7527,-0.1090
Football,362,0.7063,0.5855,0.9558,0.7845,0.9972,0.7928,44.6987,38.6396,0.1208
Football1,74,0.4557,0.7899,0.5270,1.0000,0.5270,1.0000,52.8596,37.8598,-0.3341
