sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.5892,0.4911,0.7200,0.6345,1.0000,0.8676,14.3807,15.7789,0.0981
Biker,142,0.2673,0.2717,0.2535,0.2535,0.4437,0.4648,34.5373,30.4501,-0.0044
Bird1,408,0.1970,0.0710,0.1176,0.0441,0.4044,0.0882,37.4206,128.1974,0.1260
Bird2,99,0.5965,0.6116,0.5253,0.5859,0.5354,0.5859,18.1533,16.2493,-0.0151
BlurBody,334,0.5010,0.6375,0.6647,0.8443,0.6587,0.9701,12.0013,8.0211,-0.1365
BlurCar1,742,0.0546,0.8574,0.0364,0.9987,0.0337,0.9960,90.3716,14.7125,-0.8028
BlurCar2,585,0.3754,0.8224,0.4359,0.9846,0.4359,0.9932,17.1123,18.7441,-0.4470
BlurCar3,357,0.2330,0.8452,0.2605,0.9972,0.2605,0.9972,20.6638,25.7140,-0.6122
BlurCar4,380,0.8443,0.7259,1.0000,0.9947,1.0000,1.0000,12.0087,9.0931,0.1184
BlurFace,493,0.5950,0.7718,0.7343,1.0000,0.7323,1.0000,16.1427,13.6548,-0.1768
BlurOwl,631,0.2592,0.7763,0.2868,0.9921,0.2868,0.9921,20.9882,18.4627,-0.5171
Board,698,0.6283,0.5872,0.7020,0.7034,0.6977,0.7034,35.9901,18.0152,0.0411
Bolt,350,0.6094,0.6469,0.9714,0.9914,1.0000,1.0000,18.6701,19.1757,-0.0375
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,57.8845,28.1735,-0.0000
Box,1161,0.1121,0.3247,0.1077,0.3936,0.1275,0.3953,18.0331,15.7902,-0.2126
Boy,602,0.1566,0.7946,0.1595,0.9734,0.1595,1.0000,54.3262,39.1530,-0.6380
Car1,1020,0.5304,0.4040,0.4176,0.2225,1.0000,1.0000,16.4756,25.0264,0.1264
Car2,913,0.8110,0.4062,1.0000,0.4206,1.0000,0.4206,22.5936,25.9541,0.4048
Car24,3059,0.3576,0.4339,0.1550,0.1726,1.0000,1.0000,80.8386,43.6434,-0.0763
Car4,659,0.6728,0.8237,0.9742,1.0000,1.0000,1.0000,62.5537,55.1548,-0.1509
CarDark,393,0.8878,0.8889,1.0000,1.0000,1.0000,1.0000,25.3511,20.0367,-0.0011
CarScale,252,0.6120,0.6668,0.6746,0.7103,0.7222,0.7302,40.2081,32.1251,-0.0548
