sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
ClifBar,472,0.1349,0.4540,0.1186,0.3919,0.1674,0.8093,43.9527,42.1343,-0.3191
Coke,291,0.1336,0.5350,0.1237,0.6220,0.1890,0.9175,28.3781,22.8003,-0.4014
Couple,140,0.3270,0.6520,0.4000,0.7857,0.4000,1.0000,41.6914,31.7035,-0.3250
Coupon,327,0.6502,0.9162,0.9144,1.0000,1.0000,1.0000,26.3754,21.3122,-0.2660
Crossing,120,0.7077,0.7152,0.9500,0.9667,1.0000,1.0000,45.2722,37.2357,-0.0075
Crowds,347,0.7104,0.6297,0.9164,0.9827,1.0000,1.0000,37.5704,31.9730,0.0807
Dancer,225,0.7304,0.7161,1.0000,1.0000,1.0000,1.0000,25.6293,24.5583,0.0143
Dancer2,150,0.7525,0.7170,1.0000,1.0000,1.0000,1.0000,26.9566,20.3233,0.0355
David,471,0.2476,0.2495,0.1125,0.1104,0.2484,0.2484,28.3022,21.9689,-0.0019
David2,537,0.7580,0.7392,1.0000,0.8883,1.0000,1.0000,56.0231,58.4827,0.0188
David3,252,0.7497,0.7779,1.0000,1.0000,1.0000,1.0000,26.4409,21.3937,-0.0282
Deer,71,0.1197,0.8085,0.1268,1.0000,0.1268,1.0000,75.4602,19.0593,-0.6888
Diving,215,0.3688,0.2667,0.1860,0.1860,0.6372,0.3907,28.7305,34.6846,0.1021
Dog,127,0.5386,0.4850,0.6772,0.3858,1.0000,1.0000,30.1516,23.6396,0.0536
Dog1,1350,0.6622,0.7019,0.7963,0.9993,0.9496,1.0000,41.6327,40.3674,-0.0397
Doll,3872,0.3181,0.7413,0.4008,0.9930,0.4168,0.9876,38.7791,29.9605,-0.4232
DragonBaby,113,0.2115,0.1332,0.2301,0.1239,0.2389,0.1327,65.3729,154.4501,0.0783
Dudek,1145,0.7106,0.7834,0.9572,0.9904,0.6690,0.8262,61.0862,33.8906,-0.0728
FaceOcc1,892,0.5451,0.5716,0.6031,0.6906,0.5460,0.7074,25.9413,13.2182,-0.0265
FaceOcc2,812,0.7418,0.7096,0.9988,0.9138,0.9975,1.0000,29.9995,23.2237,0.0322
Fish,476,0.8071,0.7827,1.0000,1.0000,1.0000,1.0000,30.5475,25.9358,0.0244
FleetFace,707,0.4810,0.5901,0.5332,0.6322,0.4328,0.5601,32.1952,23.2908,-0.1091
Football,362,0.5847,0.5855,0.7762,0.7845,0.8039,0.7928,34.7412,34.6734,-0.0008
Football1,74,0.3949,0.7899,0.4459,1.0000,0.4459,1.0000,40.5581,33.3890,-0.3950
Freeman1,326,0.2427,0.2209,0.1626,0.1534,0.4325,0.3804,36.3023,37.2570,0.0218
Freeman3,460,0.3414,0.3536,0.3000,0.3304,0.7913,0.9043,38.2866,34.1201,-0.0122
Freeman4,283,0.2102,0.1552,0.2297,0.1590,0.3852,0.2049,21.7662,74.8015,0.0550
Girl,500,0.5722,0.6610,0.6080,0.8880,1.0000,1.0000,33.6273,27.9667,-0.0888
Girl2,1500,0.0796,0.0790,0.0707,0.0693,0.0700,0.0700,29.5230,20.0381,0.0006
Gym,767,0.2943,0.2955,0.0209,0.0248,0.9752,0.9700,35.8046,28.2151,-0.0012
Human2,1128,0.5569,0.3525,0.5612,0.2988,0.2704,0.4858,23.5946,19.7037,0.2044
Human3,1698,0.1979,0.2471,0.1885,0.3251,0.3610,0.3651,33.1623,24.9708,-0.0492
Human4_2,667,0.5768,0.5712,0.8321,0.8186,0.8666,0.8636,52.9977,39.1329,0.0056
Human5,713,0.3225,0.3767,0.3436,0.3450,0.4544,0.9944,69.0819,44.4889,-0.0542
Human6,792,0.2236,0.2834,0.2260,0.2260,0.2854,0.8106,30.7370,29.6463,-0.0598
Human7,250,0.6573,0.7665,0.9400,0.9960,0.9800,1.0000,29.6810,23.1589,-0.1092
Human8,128,0.4994,0.5318,0.2812,0.3828,1.0000,1.0000,29.4099,24.0849,-0.0324
Human9,305,0.5608,0.4218,0.5607,0.2852,1.0000,1.0000,29.0788,23.4606,0.1390
Ironman,166,0.1315,0.1041,0.1145,0.0904,0.1386,0.1145,27.3320,30.9431,0.0274
Jogging,307,0.7121,0.5958,0.9707,0.9414,0.9772,0.9772,28.5644,20.9920,0.1163
Jump,122,0.0707,0.0746,0.0492,0.0574,0.0492,0.0574,28.6244,18.0221,-0.0039
Jumping,313,0.1521,0.6706,0.1693,0.9872,0.1725,0.9904,50.1143,48.8874,-0.5185
KiteSurf,84,0.2622,0.3348,0.2857,0.3810,0.2857,0.4048,32.2093,18.5154,-0.0726
Lemming,1336,0.1583,0.4575,0.1707,0.3593,0.1707,0.7972,28.0616,14.7718,-0.2992
Liquor,1741,0.5685,0.3379,0.6198,0.4268,0.6134,0.4285,31.5181,27.1327,0.2306
Man,134,0.8371,0.8509,1.0000,1.0000,1.0000,1.0000,84.5590,62.5689,-0.0138
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,174.3489,20.8181,0.0005
Mhyang,1490,0.5553,0.7941,0.5034,0.9993,1.0000,1.0000,17.2668,16.8797,-0.2388
MotorRolling,164,0.1093,0.1066,0.0610,0.0793,0.0488,0.0549,21.5902,19.7710,0.0027
MountainBike,228,0.7400,0.5641,1.0000,0.6623,1.0000,1.0000,29.2792,24.2251,0.1759
Panda,1000,0.3628,0.3651,0.2940,0.3010,0.7820,0.7810,18.5365,16.8727,-0.0023
RedTeam,1918,0.5186,0.5175,0.6330,0.6277,1.0000,1.0000,27.2511,22.0966,0.0011
Rubik,1997,0.6198,0.3704,0.7111,0.1622,0.6435,0.3225,63.8692,47.6778,0.2494
Shaking,365,0.0573,0.0373,0.0384,0.0137,0.0411,0.0137,99.6660,97.5707,0.0200
Singer1,351,0.8077,0.8071,1.0000,1.0000,1.0000,1.0000,12.7488,10.6657,0.0006
Singer2,366,0.0617,0.0599,0.0355,0.0355,0.0355,0.0355,16.0001,14.8896,0.0018
Skater,160,0.6417,0.6131,0.9187,0.8500,0.9625,0.9938,18.6642,17.1350,0.0286
Skater2,435,0.5324,0.5459,0.5655,0.6207,0.7402,0.6414,18.3262,16.6937,-0.0135
Skating1,400,0.5331,0.3182,0.6275,0.4300,0.9300,0.4500,13.0768,16.2586,0.2149
Skating2_1,473,0.3031,0.3331,0.2854,0.2791,0.4334,0.4059,16.4352,11.3968,-0.0300
Skating2_2,473,0.3706,0.5091,0.2156,0.5560,0.1353,0.4292,17.5877,13.6276,-0.1385
Skiing,81,0.1809,0.0821,0.0864,0.0617,0.3580,0.0988,26.6150,21.5663,0.0988
Soccer,392,0.2391,0.1765,0.1582,0.1327,0.1607,0.1327,13.1949,11.0813,0.0626
Subway,175,0.6740,0.6854,0.9886,0.9943,1.0000,1.0000,31.6386,27.4416,-0.0114
Surfer,376,0.0554,0.5220,0.0399,0.4521,0.0399,1.0000,22.7944,21.0876,-0.4666
Suv,945,0.7057,0.2373,0.8000,0.0698,0.7947,0.5280,20.9884,21.0012,0.4684
Sylvester,1345,0.6529,0.4024,0.8097,0.1323,0.8885,0.9264,16.7561,15.6305,0.2505
Tiger1,354,0.0686,0.7622,0.0508,0.9746,0.0508,0.9463,21.6213,18.2487,-0.6936
Tiger2,365,0.0929,0.4408,0.0904,0.4082,0.1096,0.4904,34.9831,23.9046,-0.3479
Toy,271,0.2332,0.4183,0.2399,0.4649,0.2472,0.6421,44.8146,38.5009,-0.1851
Trans,124,0.5296,0.5240,0.4435,0.3952,0.4032,0.3710,10.8584,7.1676,0.0056
Trellis,569,0.6417,0.5960,0.9666,0.8436,1.0000,1.0000,15.1222,13.6495,0.0457
Twinnings,472,0.5050,0.7114,0.4047,0.8814,0.9979,0.8898,18.7207,18.9814,-0.2064
Vase,271,0.2742,0.3625,0.2103,0.1845,0.4280,0.6790,20.2180,19.4814,-0.0883
Walking,412,0.6513,0.6723,0.9320,0.9782,1.0000,1.0000,16.0276,26.0690,-0.0210
Walking2,500,0.5276,0.8049,0.4840,1.0000,0.6800,1.0000,16.9047,21.6569,-0.2772
Woman,597,0.6725,0.6679,0.9246,0.9179,0.9430,1.0000,17.0323,20.4345,0.0046
OVERALL,58733,0.4438,0.5117,0.4949,0.5693,0.6312,0.7562,27.1291,22.6195,-0.0679
