sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
FleetFace,707,0.4714,0.5901,0.4936,0.6322,0.5219,0.5601,32.8411,23.2908,-0.1187
Football,362,0.5825,0.5855,0.7459,0.7845,0.7956,0.7928,36.6866,34.6734,-0.0030
Football1,74,0.4020,0.7899,0.4459,1.0000,0.4459,1.0000,38.7464,33.3890,-0.3879
Freeman1,326,0.2168,0.2209,0.1656,0.1534,0.3589,0.3804,39.1172,37.2570,-0.0041
Freeman3,460,0.3370,0.3536,0.3087,0.3304,0.7739,0.9043,40.5407,34.1201,-0.0166
Freeman4,283,0.2050,0.1552,0.2261,0.1590,0.3993,0.2049,22.1050,74.8015,0.0498
Girl,500,0.5704,0.6610,0.6120,0.8880,1.0000,1.0000,36.6522,27.9667,-0.0906
Girl2,1500,0.0817,0.0790,0.0707,0.0693,0.0700,0.0700,30.5744,20.0381,0.0026
Gym,767,0.3326,0.2955,0.0417,0.0248,0.9674,0.9700,36.3285,28.2151,0.0371
Human2,1128,0.5646,0.3525,0.5931,0.2988,0.6090,0.4858,27.3872,19.7037,0.2121
Human3,1698,0.2024,0.2471,0.1673,0.3251,0.3657,0.3651,33.3246,24.9708,-0.0447
Human4_2,667,0.5734,0.5712,0.8276,0.8186,0.8636,0.8636,50.4883,39.1329,0.0022
Human5,713,0.3365,0.3767,0.3450,0.3450,0.5708,0.9944,68.7690,44.4889,-0.0402
Human6,792,0.2235,0.2834,0.2260,0.2260,0.2841,0.8106,30.8394,29.6463,-0.0599
Human7,250,0.6199,0.7665,0.8200,0.9960,0.8200,1.0000,32.0257,23.1589,-0.1466
Human8,128,0.5248,0.5318,0.3594,0.3828,1.0000,1.0000,31.2658,24.0849,-0.0070
Human9,305,0.5259,0.4218,0.4525,0.2852,1.0000,1.0000,30.4152,23.4606,0.1041
Ironman,166,0.1381,0.1041,0.1084,0.0904,0.1566,0.1145,28.4173,30.9431,0.0340
Jogging,307,0.5445,0.5958,0.7394,0.9414,0.9772,0.9772,28.3490,20.9920,-0.0513
Jump,122,0.0695,0.0746,0.0492,0.0574,0.0492,0.0574,28.9078,18.0221,-0.0051
Jumping,313,0.1883,0.6706,0.1981,0.9872,0.2812,0.9904,50.5869,48.8874,-0.4823
KiteSurf,84,0.2628,0.3348,0.2857,0.3810,0.2857,0.4048,32.2044,18.5154,-0.0720
Lemming,1336,0.2356,0.4575,0.2567,0.3593,0.2747,0.7972,30.1000,14.7718,-0.2219
Liquor,1741,0.6694,0.3379,0.8214,0.4268,0.9173,0.4285,31.8355,27.1327,0.3315
Man,134,0.8425,0.8509,1.0000,1.0000,1.0000,1.0000,81.2624,62.5689,-0.0084
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,19.6519,20.8181,0.0005
Mhyang,1490,0.5751,0.7941,0.5430,0.9993,1.0000,1.0000,17.8049,16.8797,-0.2190
MotorRolling,164,0.1105,0.1066,0.0732,0.0793,0.0549,0.0549,22.7912,19.7710,0.0039
MountainBike,228,0.7091,0.5641,1.0000,0.6623,1.0000,1.0000,31.2614,24.2251,0.1450
Panda,1000,0.3949,0.3651,0.2870,0.3010,0.9160,0.7810,19.4091,16.8727,0.0298
RedTeam,1918,0.5141,0.5175,0.4067,0.6277,1.0000,1.0000,26.2058,22.0966,-0.0034
Rubik,1997,0.3947,0.3704,0.1622,0.1622,0.4191,0.3225,53.7914,47.6778,0.0243
Shaking,365,0.7262,0.0373,0.9507,0.0137,0.9507,0.0137,65.8375,97.5707,0.6889
Singer1,351,0.8053,0.8071,1.0000,1.0000,1.0000,1.0000,13.4477,10.6657,-0.0018
Singer2,366,0.0607,0.0599,0.0355,0.0355,0.0355,0.0355,15.9415,14.8896,0.0008
Skater,160,0.5717,0.6131,0.6625,0.8500,0.9750,0.9938,18.5936,17.1350,-0.0414
Skater2,435,0.5140,0.5459,0.5379,0.6207,0.6529,0.6414,18.2445,16.6937,-0.0319
Skating1,400,0.2924,0.3182,0.1600,0.4300,0.6900,0.4500,13.9781,16.2586,-0.0258
Skating2_1,473,0.2425,0.3331,0.1860,0.2791,0.2875,0.4059,15.8916,11.3968,-0.0906
Skating2_2,473,0.3646,0.5091,0.2178,0.5560,0.2727,0.4292,17.4904,13.6276,-0.1445
Skiing,81,0.0864,0.0821,0.0741,0.0617,0.0864,0.0988,24.0697,21.5663,0.0043
Soccer,392,0.3155,0.1765,0.1327,0.1327,0.1964,0.1327,13.5785,11.0813,0.1390
Subway,175,0.6674,0.6854,0.9429,0.9943,1.0000,1.0000,27.6896,27.4416,-0.0180
Surfer,376,0.0557,0.5220,0.0399,0.4521,0.0399,1.0000,23.8748,21.0876,-0.4663
Suv,945,0.7097,0.2373,0.8085,0.0698,0.8042,0.5280,20.8332,21.0012,0.4724
Sylvester,1345,0.5951,0.4024,0.7725,0.1323,0.8208,0.9264,16.8421,15.6305,0.1927
Tiger1,354,0.3395,0.7622,0.2740,0.9746,0.2458,0.9463,21.8040,18.2487,-0.4227
Tiger2,365,0.1689,0.4408,0.1781,0.4082,0.1836,0.4904,33.4234,23.9046,-0.2719
Toy,271,0.2044,0.4183,0.1624,0.4649,0.3284,0.6421,43.7551,38.5009,-0.2139
Trans,124,0.4079,0.5240,0.2742,0.3952,0.2258,0.3710,12.7334,7.1676,-0.1161
Trellis,569,0.6210,0.5960,0.9596,0.8436,1.0000,1.0000,15.4402,13.6495,0.0250
Twinnings,472,0.6331,0.7114,0.7627,0.8814,0.9767,0.8898,18.4300,18.9814,-0.0783
Vase,271,0.3474,0.3625,0.2030,0.1845,0.8192,0.6790,20.7654,19.4814,-0.0151
Walking,412,0.6759,0.6723,0.9660,0.9782,1.0000,1.0000,15.1308,26.0690,0.0036
Walking2,500,0.6231,0.8049,0.6960,1.0000,1.0000,1.0000,17.1867,21.6569,-0.1817
Woman,597,0.7158,0.6679,0.9347,0.9179,0.9430,1.0000,16.7850,20.4345,0.0479
OVERALL,58733,0.4708,0.5117,0.5055,0.5693,0.6905,0.7562,27.0364,22.6195,-0.0409
