sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.3047,0.4911,0.1352,0.6345,0.5862,0.8676,15.4082,15.7789,-0.1864
Biker,142,0.2636,0.2717,0.2535,0.2535,0.4437,0.4648,31.8870,30.4501,-0.0081
Bird1,408,0.1861,0.0710,0.1176,0.0441,0.3799,0.0882,34.9774,128.1974,0.1151
Bird2,99,0.5854,0.6116,0.5354,0.5859,0.5354,0.5859,17.3328,16.2493,-0.0262
BlurBody,334,0.5007,0.6375,0.6677,0.8443,0.6647,0.9701,12.7123,8.0211,-0.1368
BlurCar1,742,0.8368,0.8574,0.9933,0.9987,0.9919,0.9960,16.4662,14.7125,-0.0206
BlurCar2,585,0.8232,0.8224,0.9949,0.9846,0.9949,0.9932,23.1033,18.7441,0.0008
BlurCar3,357,0.7947,0.8452,0.9692,0.9972,0.9692,0.9972,40.0085,25.7140,-0.0505
BlurCar4,380,0.8426,0.7259,1.0000,0.9947,1.0000,1.0000,12.7795,9.0931,0.1167
BlurFace,493,0.7410,0.7718,0.9878,1.0000,0.9878,1.0000,16.1989,13.6548,-0.0308
BlurOwl,631,0.2515,0.7763,0.2916,0.9921,0.2932,0.9921,20.6594,18.4627,-0.5248
Board,698,0.6537,0.5872,0.7020,0.7034,0.7020,0.7034,33.5315,18.0152,0.0665
Bolt,350,0.6639,0.6469,0.9714,0.9914,1.0000,1.0000,18.4451,19.1757,0.0170
Bolt2,293,0.0350,0.0352,0.0102,0.0102,0.0171,0.0171,13.2816,28.1735,-0.0002
Box,1161,0.3309,0.3247,0.3953,0.3936,0.3953,0.3953,20.4566,15.7902,0.0062
Boy,602,0.3674,0.7946,0.4269,0.9734,0.4269,1.0000,64.5521,39.1530,-0.4272
Car1,1020,0.4762,0.4040,0.3255,0.2225,1.0000,1.0000,16.7736,25.0264,0.0722
Car2,913,0.7463,0.4062,1.0000,0.4206,1.0000,0.4206,22.6134,25.9541,0.3401
Car24,3059,0.4333,0.4339,0.1726,0.1726,1.0000,1.0000,78.5481,43.6434,-0.0006
Car4,659,0.6705,0.8237,0.9545,1.0000,1.0000,1.0000,49.0807,55.1548,-0.1532
CarDark,393,0.7556,0.8889,1.0000,1.0000,1.0000,1.0000,26.2742,20.0367,-0.1333
CarScale,252,0.4537,0.6668,0.5159,0.7103,0.7143,0.7302,45.5647,32.1251,-0.2131
ClifBar,472,0.3146,0.4540,0.3581,0.3919,0.4682,0.8093,47.0825,42.1343,-0.1394
Coke,291,0.4747,0.5350,0.3780,0.6220,0.8969,0.9175,30.8061,22.8003,-0.0603
Couple,140,0.5716,0.6520,0.7357,0.7857,0.9714,1.0000,41.2377,31.7035,-0.0804
Coupon,327,0.7062,0.9162,0.9969,1.0000,1.0000,1.0000,28.1273,21.3122,-0.2100
Crossing,120,0.6998,0.7152,0.9167,0.9667,1.0000,1.0000,51.4232,37.2357,-0.0154
Crowds,347,0.6950,0.6297,0.9280,0.9827,1.0000,1.0000,40.8680,31.9730,0.0653
Dancer,225,0.7407,0.7161,1.0000,1.0000,1.0000,1.0000,27.2837,24.5583,0.0246
Dancer2,150,0.7638,0.7170,1.0000,1.0000,1.0000,1.0000,26.6848,20.3233,0.0468
David,471,0.2508,0.2495,0.1338,0.1104,0.2484,0.2484,30.2239,21.9689,0.0013
David2,537,0.7454,0.7392,1.0000,0.8883,1.0000,1.0000,61.6558,58.4827,0.0062
David3,252,0.7785,0.7779,1.0000,1.0000,1.0000,1.0000,27.2083,21.3937,0.0006
Deer,71,0.1542,0.8085,0.1690,1.0000,0.1831,1.0000,27.2271,19.0593,-0.6543
Diving,215,0.3693,0.2667,0.1860,0.1860,0.6884,0.3907,29.2152,34.6846,0.1026
Dog,127,0.5291,0.4850,0.5433,0.3858,1.0000,1.0000,30.0444,23.6396,0.0441
Dog1,1350,0.6873,0.7019,0.9748,0.9993,0.9674,1.0000,41.4165,40.3674,-0.0146
Doll,3872,0.2516,0.7413,0.1878,0.9930,0.4130,0.9876,40.1452,29.9605,-0.4897
DragonBaby,113,0.2535,0.1332,0.3363,0.1239,0.3451,0.1327,49.6270,154.4501,0.1203
Dudek,1145,0.7143,0.7834,0.9624,0.9904,0.6000,0.8262,49.0725,33.8906,-0.0691
FaceOcc1,892,0.6832,0.5716,0.9765,0.6906,0.7724,0.7074,28.3345,13.2182,0.1116
FaceOcc2,812,0.7458,0.7096,1.0000,0.9138,1.0000,1.0000,31.1161,23.2237,0.0362
Fish,476,0.6845,0.7827,1.0000,1.0000,1.0000,1.0000,31.4689,25.9358,-0.0982
