sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.0416,0.4911,0.0138,0.6345,0.0152,0.8676,9.6052,15.7789,-0.4495
Biker,142,0.2681,0.2717,0.2535,0.2535,0.4577,0.4648,10.4652,30.4501,-0.0036
Bird1,408,0.1001,0.0710,0.0735,0.0441,0.1544,0.0882,13.6405,128.1974,0.0291
Bird2,99,0.5722,0.6116,0.5354,0.5859,0.5354,0.5859,10.9275,16.2493,-0.0394
BlurBody,334,0.4978,0.6375,0.6617,0.8443,0.6587,0.9701,8.6750,8.0211,-0.1397
BlurCar1,742,0.8199,0.8574,0.9946,0.9987,0.9906,0.9960,9.3257,14.7125,-0.0375
BlurCar2,585,0.8020,0.8224,1.0000,0.9846,1.0000,0.9932,13.4157,18.7441,-0.0204
BlurCar3,357,0.7905,0.8452,0.9804,0.9972,0.9804,0.9972,20.1062,25.7140,-0.0547
BlurCar4,380,0.7961,0.7259,1.0000,0.9947,0.9921,1.0000,8.3808,9.0931,0.0702
BlurFace,493,0.7540,0.7718,0.9899,1.0000,0.9899,1.0000,9.0603,13.6548,-0.0178
BlurOwl,631,0.1494,0.7763,0.1569,0.9921,0.1601,0.9921,12.5505,18.4627,-0.6269
Board,698,0.8020,0.5872,0.9670,0.7034,0.8653,0.7034,16.1841,18.0152,0.2148
Bolt,350,0.6692,0.6469,0.9771,0.9914,1.0000,1.0000,12.6940,19.1757,0.0223
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,7.3689,28.1735,-0.0000
Box,1161,0.3065,0.3247,0.3773,0.3936,0.3945,0.3953,11.5810,15.7902,-0.0182
Boy,602,0.5612,0.7946,0.6628,0.9734,0.6628,1.0000,30.7578,39.1530,-0.2334
Car1,1020,0.3453,0.4040,0.2245,0.2225,0.7363,1.0000,10.0529,25.0264,-0.0587
Car2,913,0.7050,0.4062,1.0000,0.4206,1.0000,0.4206,13.6124,25.9541,0.2988
Car24,3059,0.3575,0.4339,0.1550,0.1726,1.0000,1.0000,42.8127,43.6434,-0.0764
Car4,659,0.4728,0.8237,0.2716,1.0000,1.0000,1.0000,47.3062,55.1548,-0.3509
CarDark,393,0.8757,0.8889,1.0000,1.0000,1.0000,1.0000,9.2459,20.0367,-0.0132
CarScale,252,0.5094,0.6668,0.5278,0.7103,0.7143,0.7302,12.2151,32.1251,-0.1574
ClifBar,472,0.3241,0.4540,0.3898,0.3919,0.4682,0.8093,12.7315,42.1343,-0.1299
Coke,291,0.5291,0.5350,0.5361,0.6220,0.9175,0.9175,10.0561,22.8003,-0.0059
Couple,140,0.5927,0.6520,0.6929,0.7857,0.9214,1.0000,13.1684,31.7035,-0.0593
Coupon,327,0.7998,0.9162,1.0000,1.0000,1.0000,1.0000,9.4369,21.3122,-0.1164
Crossing,120,0.7219,0.7152,0.9750,0.9667,1.0000,1.0000,13.5077,37.2357,0.0067
Crowds,347,0.7295,0.6297,0.9222,0.9827,1.0000,1.0000,11.3212,31.9730,0.0998
Dancer,225,0.7644,0.7161,1.0000,1.0000,1.0000,1.0000,9.6887,24.5583,0.0483
Dancer2,150,0.7548,0.7170,1.0000,1.0000,1.0000,1.0000,10.0598,20.3233,0.0378
David,471,0.2531,0.2495,0.1040,0.1104,0.2463,0.2484,8.9594,21.9689,0.0036
David2,537,0.7689,0.7392,1.0000,0.8883,1.0000,1.0000,16.5918,58.4827,0.0297
David3,252,0.7640,0.7779,1.0000,1.0000,1.0000,1.0000,9.1847,21.3937,-0.0139
Deer,71,0.7873,0.8085,1.0000,1.0000,1.0000,1.0000,9.2903,19.0593,-0.0212
Diving,215,0.2877,0.2667,0.1860,0.1860,0.3814,0.3907,8.9402,34.6846,0.0210
Dog,127,0.4413,0.4850,0.2756,0.3858,1.0000,1.0000,8.9061,23.6396,-0.0437
Dog1,1350,0.7775,0.7019,0.9985,0.9993,1.0000,1.0000,11.7594,40.3674,0.0756
Doll,3872,0.4201,0.7413,0.2345,0.9930,0.9504,0.9876,26.0723,29.9605,-0.3212
DragonBaby,113,0.3235,0.1332,0.3805,0.1239,0.4425,0.1327,56.5241,154.4501,0.1903
Dudek,1145,0.7297,0.7834,0.9624,0.9904,0.7424,0.8262,55.0452,33.8906,-0.0537
FaceOcc1,892,0.5857,0.5716,0.7321,0.6906,0.8677,0.7074,8.1916,13.2182,0.0141
FaceOcc2,812,0.7409,0.7096,0.9975,0.9138,1.0000,1.0000,13.0344,23.2237,0.0313
Fish,476,0.7896,0.7827,1.0000,1.0000,1.0000,1.0000,19.9986,25.9358,0.0069
FleetFace,707,0.5762,0.5901,0.6917,0.6322,0.6139,0.5601,26.5977,23.2908,-0.0139
