sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Football,362,0.6414,0.5855,0.8729,0.7845,0.9890,0.7928,11.3020,34.6734,0.0559
Football1,74,0.4574,0.7899,0.5405,1.0000,0.5676,1.0000,13.1197,33.3890,-0.3325
Freeman1,326,0.2391,0.2209,0.1718,0.1534,0.4110,0.3804,12.2422,37.2570,0.0182
Freeman3,460,0.3330,0.3536,0.2957,0.3304,0.7891,0.9043,13.5851,34.1201,-0.0206
Freeman4,283,0.1907,0.1552,0.1696,0.1590,0.4064,0.2049,6.5771,74.8015,0.0355
Girl,500,0.5792,0.6610,0.6120,0.8880,1.0000,1.0000,10.8384,27.9667,-0.0818
Girl2,1500,0.3938,0.0790,0.2447,0.0693,0.5453,0.0700,14.0018,20.0381,0.3148
Gym,767,0.4088,0.2955,0.1864,0.0248,0.9713,0.9700,31.5548,28.2151,0.1133
Human2,1128,0.6533,0.3525,0.8848,0.2988,0.5532,0.4858,8.3510,19.7037,0.3008
Human3,1698,0.0441,0.2471,0.0230,0.3251,0.0312,0.3651,22.1823,24.9708,-0.2030
Human4_2,667,0.5673,0.5712,0.8291,0.8186,0.8651,0.8636,43.6120,39.1329,-0.0039
Human5,713,0.3804,0.3767,0.3436,0.3450,0.9888,0.9944,56.2689,44.4889,0.0037
Human6,792,0.2336,0.2834,0.2260,0.2260,0.4343,0.8106,9.4127,29.6463,-0.0498
Human7,250,0.7603,0.7665,0.9920,0.9960,1.0000,1.0000,10.1607,23.1589,-0.0062
Human8,128,0.5318,0.5318,0.3594,0.3828,1.0000,1.0000,10.4760,24.0849,0.0000
Human9,305,0.5846,0.4218,0.6623,0.2852,1.0000,1.0000,12.3750,23.4606,0.1628
Ironman,166,0.1348,0.1041,0.1145,0.0904,0.1205,0.1145,9.4125,30.9431,0.0307
Jogging,307,0.6033,0.5958,0.9414,0.9414,0.9772,0.9772,9.1346,20.9920,0.0075
Jump,122,0.0744,0.0746,0.0574,0.0574,0.0492,0.0574,8.7629,18.0221,-0.0002
Jumping,313,0.1554,0.6706,0.1789,0.9872,0.1789,0.9904,12.8574,48.8874,-0.5152
KiteSurf,84,0.2723,0.3348,0.2976,0.3810,0.2976,0.4048,11.6602,18.5154,-0.0625
Lemming,1336,0.2645,0.4575,0.2642,0.3593,0.2747,0.7972,9.8856,14.7718,-0.1930
Liquor,1741,0.7160,0.3379,0.8736,0.4268,0.9024,0.4285,21.7724,27.1327,0.3781
Man,134,0.8554,0.8509,1.0000,1.0000,1.0000,1.0000,67.5296,62.5689,0.0045
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,13.1204,20.8181,0.0005
Mhyang,1490,0.5387,0.7941,0.3725,0.9993,1.0000,1.0000,10.4909,16.8797,-0.2554
MotorRolling,164,0.1087,0.1066,0.0732,0.0793,0.0427,0.0549,13.3965,19.7710,0.0021
MountainBike,228,0.6712,0.5641,0.9912,0.6623,1.0000,1.0000,17.9110,24.2251,0.1071
Panda,1000,0.3953,0.3651,0.3080,0.3010,0.9190,0.7810,12.5804,16.8727,0.0302
RedTeam,1918,0.5017,0.5175,0.4046,0.6277,1.0000,1.0000,13.3421,22.0966,-0.0158
Rubik,1997,0.6064,0.3704,0.8242,0.1622,0.5924,0.3225,42.7819,47.6778,0.2360
Shaking,365,0.1710,0.0373,0.1753,0.0137,0.1753,0.0137,58.3457,97.5707,0.1337
Singer1,351,0.8218,0.8071,1.0000,1.0000,1.0000,1.0000,9.1841,10.6657,0.0147
Singer2,366,0.0613,0.0599,0.0355,0.0355,0.0355,0.0355,9.0473,14.8896,0.0014
Skater,160,0.5567,0.6131,0.6562,0.8500,0.9688,0.9938,10.0597,17.1350,-0.0564
Skater2,435,0.5093,0.5459,0.5379,0.6207,0.5954,0.6414,10.6037,16.6937,-0.0366
Skating1,400,0.2897,0.3182,0.1650,0.4300,0.6900,0.4500,9.7633,16.2586,-0.0285
Skating2_1,473,0.0939,0.3331,0.0803,0.2791,0.1057,0.4059,9.2844,11.3968,-0.2392
Skating2_2,473,0.3594,0.5091,0.2114,0.5560,0.1543,0.4292,9.3868,13.6276,-0.1497
Skiing,81,0.0864,0.0821,0.0617,0.0617,0.0864,0.0988,15.9216,21.5663,0.0043
Soccer,392,0.1966,0.1765,0.1837,0.1327,0.1837,0.1327,9.6103,11.0813,0.0201
Subway,175,0.6591,0.6854,0.9829,0.9943,1.0000,1.0000,13.0978,27.4416,-0.0263
Surfer,376,0.0555,0.5220,0.0399,0.4521,0.0399,1.0000,13.4188,21.0876,-0.4665
Suv,945,0.8492,0.2373,0.9778,0.0698,0.9767,0.5280,12.3718,21.0012,0.6119
Sylvester,1345,0.3449,0.4024,0.4245,0.1323,0.4543,0.9264,10.3217,15.6305,-0.0575
Tiger1,354,0.7320,0.7622,0.9746,0.9746,0.9689,0.9463,12.7451,18.2487,-0.0302
Tiger2,365,0.1281,0.4408,0.1068,0.4082,0.1644,0.4904,18.1120,23.9046,-0.3127
Toy,271,0.5649,0.4183,0.6605,0.4649,0.8708,0.6421,21.4747,38.5009,0.1466
Trans,124,0.4550,0.5240,0.3145,0.3952,0.4758,0.3710,8.7083,7.1676,-0.0690
Trellis,569,0.6615,0.5960,0.9807,0.8436,1.0000,1.0000,9.5753,13.6495,0.0655
Twinnings,472,0.6050,0.7114,0.7669,0.8814,0.8708,0.8898,10.3316,18.9814,-0.1064
Vase,271,0.4048,0.3625,0.3542,0.1845,0.6531,0.6790,11.9588,19.4814,0.0423
Walking,412,0.6718,0.6723,0.9757,0.9782,1.0000,1.0000,10.3541,26.0690,-0.0005
Walking2,500,0.6938,0.8049,0.8960,1.0000,1.0000,1.0000,9.4059,21.6569,-0.1110
Woman,597,0.6078,0.6679,0.7973,0.9179,0.9414,1.0000,9.2748,20.4345,-0.0601
OVERALL,58733,0.4872,0.5117,0.5292,0.5693,0.7300,0.7562,13.7868,22.6195,-0.0245
