sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.7280,0.7360,0.0400,0.0200,1.0000,1.0000,57.5858,56.6623,-0.0080
Biker,142,0.6425,0.6435,0.2800,0.2800,1.0000,1.0000,97.6770,98.3867,-0.0010
Bird1,408,0.3575,0.3575,0.6400,0.6400,0.6200,0.6200,90.2926,91.7917,0.0000
Bird2,99,0.8325,0.8065,0.0600,0.0600,0.9400,0.9400,57.8356,55.5291,0.0260
BlurBody,334,0.7665,0.7925,0.0000,0.0000,1.0000,1.0000,30.4511,29.8312,-0.0260
BlurCar1,742,0.6355,0.8745,0.0400,0.0200,0.9800,0.9800,59.5621,48.8441,-0.2390
BlurCar2,585,0.8990,0.9050,0.0000,0.0000,1.0000,1.0000,46.3347,45.1184,-0.0060
BlurCar3,357,0.8300,0.8470,0.0000,0.0000,1.0000,1.0000,53.9655,54.9595,-0.0170
BlurCar4,380,0.7990,0.8590,0.0000,0.0000,1.0000,1.0000,38.1800,34.2560,-0.0600
BlurFace,493,0.8710,0.8720,0.0000,0.0000,1.0000,1.0000,45.3803,44.1755,-0.0010
BlurOwl,631,0.8710,0.8810,0.0000,0.0000,1.0000,1.0000,52.5657,54.5281,-0.0100
Board,698,0.8485,0.8665,0.0000,0.0000,1.0000,1.0000,29.4298,29.4138,-0.0180
Bolt,350,0.5475,0.7155,0.5400,0.0200,1.0000,1.0000,80.1182,80.2621,-0.1680
Bolt2,293,0.0845,0.0845,0.9400,0.9400,0.1000,0.1000,56.1406,56.4794,0.0000
Box,1161,0.8585,0.8815,0.0000,0.0000,1.0000,1.0000,45.3019,45.5610,-0.0230
Boy,602,0.8340,0.8570,0.0000,0.0000,1.0000,1.0000,84.2354,89.3576,-0.0230
Car1,1020,0.9135,0.8855,0.0000,0.0000,1.0000,1.0000,78.1908,77.6216,0.0280
Car2,913,0.9140,0.8980,0.0000,0.0000,1.0000,1.0000,74.5429,72.7704,0.0160
Car24,3059,0.9390,0.9240,0.0000,0.0000,1.0000,1.0000,86.1589,83.9569,0.0150
