sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Car4,659,0.8325,0.8505,0.0000,0.0000,1.0000,1.0000,59.7057,61.2138,-0.0180
CarDark,393,0.8945,0.9505,0.0000,0.0000,1.0000,1.0000,75.4485,76.4641,-0.0560
CarScale,252,0.8115,0.8225,0.0000,0.0000,1.0000,1.0000,92.4977,95.3718,-0.0110
ClifBar,472,0.7235,0.7575,0.1800,0.0000,1.0000,1.0000,119.7839,123.2316,-0.0340
Coke,291,0.5780,0.5820,0.3200,0.2200,0.9800,0.9600,57.3985,57.9942,-0.0040
Couple,140,0.7735,0.7715,0.0000,0.0000,1.0000,1.0000,92.0284,90.2173,0.0020
Coupon,327,0.9175,0.9360,0.0000,0.0000,1.0000,1.0000,71.5834,71.9341,-0.0185
Crossing,120,0.8185,0.8185,0.0000,0.0000,1.0000,1.0000,106.9578,108.3712,0.0000
Crowds,347,0.8125,0.6615,0.0000,0.0000,1.0000,1.0000,82.8453,83.8088,0.1510
Dancer,225,0.7130,0.7700,0.0000,0.0000,1.0000,1.0000,74.2043,73.4063,-0.0570
Dancer2,150,0.7870,0.7680,0.0000,0.0000,1.0000,1.0000,68.2163,63.4093,0.0190
David,471,0.4480,0.4510,0.6200,0.6200,0.4000,0.4000,52.9564,55.0034,-0.0030
David2,537,0.8790,0.8790,0.0000,0.0000,1.0000,1.0000,148.8568,153.6030,0.0000
David3,252,0.8305,0.8295,0.0000,0.0000,1.0000,1.0000,50.6970,52.3015,0.0010
Deer,71,0.8095,0.8185,0.0000,0.0000,1.0000,1.0000,52.5722,53.2712,-0.0090
Diving,215,0.7345,0.7175,0.2000,0.2000,1.0000,1.0000,58.0066,59.3651,0.0170
Dog,127,0.6215,0.5805,0.1800,0.2200,1.0000,1.0000,63.3741,64.1478,0.0410
Dog1,1350,0.8520,0.8750,0.0000,0.0000,1.0000,1.0000,116.5725,118.6908,-0.0230
Doll,3872,0.9345,0.9385,0.0000,0.0000,1.0000,1.0000,63.4714,67.2359,-0.0040
DragonBaby,113,0.2835,0.2695,0.7400,0.7200,0.2600,0.3000,70.7967,95.4442,0.0140
Dudek,1145,0.8765,0.8785,0.0000,0.0000,1.0000,1.0000,38.8440,39.4113,-0.0020
FaceOcc1,892,0.7150,0.7155,0.0000,0.1200,0.7800,0.7400,46.1159,45.4701,-0.0005
FaceOcc2,812,0.8635,0.8645,0.0000,0.0000,1.0000,1.0000,68.0700,67.2139,-0.0010
Fish,476,0.8950,0.9050,0.0000,0.0000,1.0000,1.0000,73.5950,77.0597,-0.0100
FleetFace,707,0.8980,0.8830,0.0000,0.0000,1.0000,1.0000,44.8599,44.3101,0.0150
Football,362,0.8830,0.8860,0.0000,0.0000,1.0000,1.0000,108.6412,108.2286,-0.0030
Football1,74,0.8115,0.8020,0.0000,0.0000,1.0000,1.0000,94.5485,90.7135,0.0095
Freeman1,326,0.8325,0.8250,0.0400,0.0600,1.0000,1.0000,116.1151,117.1552,0.0075
Freeman3,460,0.7835,0.7835,0.0000,0.0000,1.0000,1.0000,152.6308,157.8851,0.0000
Freeman4,283,0.7530,0.7530,0.1000,0.1000,0.9800,0.9800,102.4112,99.9270,0.0000
Girl,500,0.8415,0.8265,0.0000,0.0000,1.0000,1.0000,90.4026,89.0714,0.0150
Girl2,1500,0.8275,0.8355,0.0000,0.0000,1.0000,1.0000,49.3313,53.1382,-0.0080
Gym,767,0.3745,0.3675,0.7600,0.7800,1.0000,1.0000,66.1360,66.6054,0.0070
Human2,1128,0.8395,0.6795,0.0000,0.1600,0.8200,0.7800,27.3349,33.5396,0.1600
Human3,1698,0.5435,0.7545,0.5000,0.0000,1.0000,1.0000,58.7577,64.3937,-0.2110
Human4_2,667,0.6495,0.6445,0.0600,0.1000,1.0000,1.0000,69.4995,70.6208,0.0050
Human5,713,0.8260,0.8170,0.0200,0.0200,1.0000,1.0000,80.4401,86.8929,0.0090
Human6,792,0.8460,0.8455,0.0000,0.0000,1.0000,1.0000,88.6916,88.4934,0.0005
Human7,250,0.7715,0.7845,0.0000,0.0000,1.0000,1.0000,63.0390,65.1389,-0.0130
Human8,128,0.7135,0.6595,0.0000,0.2400,1.0000,1.0000,64.9741,64.4257,0.0540
Human9,305,0.5685,0.7425,0.4000,0.0000,1.0000,1.0000,59.9820,62.7916,-0.1740
Ironman,166,0.3195,0.2875,0.6600,0.7000,0.4200,0.3800,66.8332,69.0616,0.0320
Jogging,307,0.7015,0.6895,0.0000,0.0000,1.0000,1.0000,58.4815,61.4705,0.0120
Jump,122,0.1475,0.1460,0.8600,0.8600,0.1400,0.1400,49.5246,53.3987,0.0015
Jumping,313,0.7905,0.7765,0.0000,0.0600,1.0000,0.9400,134.8085,136.5551,0.0140
KiteSurf,84,0.4925,0.5455,0.4400,0.3600,0.5600,0.6800,86.4187,89.2055,-0.0530
Lemming,1336,0.8875,0.7805,0.0000,0.1000,1.0000,1.0000,51.8485,53.8941,0.1070
Liquor,1741,0.9755,0.9755,0.0000,0.0000,1.0000,1.0000,40.7751,41.6476,0.0000
Man,134,0.8890,0.8875,0.0000,0.0000,1.0000,1.0000,100.3561,99.4108,0.0015
Matrix,100,0.0465,0.0455,0.9800,0.9800,0.0200,0.0200,84.0951,91.7513,0.0010
Mhyang,1490,0.9365,0.9475,0.0000,0.0000,1.0000,1.0000,81.5420,84.6179,-0.0110
MotorRolling,164,0.2815,0.2905,0.7600,0.7400,0.1600,0.1800,49.9869,49.7855,-0.0090
MountainBike,228,0.7675,0.7235,0.0000,0.1400,1.0000,1.0000,55.9966,59.7894,0.0440
Panda,1000,0.8040,0.8115,0.0000,0.0000,1.0000,1.0000,88.9787,90.7500,-0.0075
RedTeam,1918,0.8245,0.7865,0.0000,0.0000,1.0000,1.0000,76.5091,73.5175,0.0380
Rubik,1997,0.8710,0.8680,0.0000,0.0000,1.0000,1.0000,55.7490,55.1783,0.0030
Shaking,365,0.6455,0.1145,0.2200,0.9000,0.7800,0.1000,56.9853,61.6110,0.5310
Singer1,351,0.8965,0.9015,0.0000,0.0000,1.0000,1.0000,36.6892,37.8140,-0.0050
Singer2,366,0.3025,0.2805,0.7400,0.7400,0.2600,0.2600,50.4906,53.6516,0.0220
Skater,160,0.6900,0.7070,0.0200,0.0000,1.0000,1.0000,72.6579,72.6034,-0.0170
Skater2,435,0.5520,0.5920,0.4200,0.2000,0.4600,0.4200,51.9643,57.5181,-0.0400
Skating1,400,0.7580,0.7100,0.0000,0.0000,1.0000,1.0000,60.5742,60.2229,0.0480
Skating2_1,473,0.3030,0.3360,0.8000,0.8400,0.4800,0.4600,46.9873,44.8123,-0.0330
Skating2_2,473,0.3975,0.4145,0.6200,0.6200,0.2200,0.2600,37.4646,34.9620,-0.0170
Skiing,81,0.1175,0.1175,0.9000,0.9000,0.1600,0.1600,82.8531,83.7332,0.0000
Soccer,392,0.8115,0.8765,0.0000,0.0000,1.0000,1.0000,52.8750,55.3455,-0.0650
Subway,175,0.7205,0.7065,0.0000,0.0000,1.0000,1.0000,97.7488,96.7123,0.0140
Surfer,376,0.7815,0.7815,0.0000,0.0000,1.0000,1.0000,98.1787,101.5870,0.0000
Suv,945,0.5230,0.5190,0.3600,0.3800,0.6800,0.6800,76.8802,78.3604,0.0040
Sylvester,1345,0.8335,0.6115,0.0000,0.1600,1.0000,1.0000,78.2573,76.3451,0.2220
Tiger1,354,0.7475,0.7625,0.1200,0.1000,0.8200,0.8200,53.3853,55.0592,-0.0150
Tiger2,365,0.6565,0.6525,0.0000,0.0000,1.0000,1.0000,57.5474,61.0142,0.0040
Toy,271,0.7285,0.7405,0.1000,0.1000,1.0000,1.0000,76.9528,78.8997,-0.0120
Trans,124,0.7355,0.7365,0.1800,0.1200,0.7400,0.7800,34.2815,34.0709,-0.0010
Trellis,569,0.7925,0.7655,0.0000,0.0000,1.0000,1.0000,59.0769,61.0031,0.0270
Twinnings,472,0.8675,0.8745,0.0000,0.0000,1.0000,1.0000,75.8898,80.3841,-0.0070
Vase,271,0.6495,0.5425,0.3200,0.4400,0.9000,0.7000,77.2855,82.8760,0.1070
Walking,412,0.6875,0.6865,0.0000,0.0000,1.0000,1.0000,67.2005,66.5748,0.0010
Walking2,500,0.8445,0.8295,0.0000,0.0000,1.0000,1.0000,60.0262,61.6514,0.0150
Woman,597,0.8095,0.8460,0.0000,0.0000,1.0000,1.0000,57.6099,57.0479,-0.0365
OVERALL,58733,0.7164,0.7137,0.1531,0.1513,0.8855,0.8766,62.1328,63.0988,0.0028
