sequence,frames,auc,success50,precision20,fps
Basketball,725,0.491069,0.365517,0.867586,76.569068
Biker,142,0.271655,0.746479,0.464789,102.848364
Bird1,408,0.071017,0.955882,0.088235,305.194980
Bird2,99,0.611616,0.414141,0.585859,56.738707
BlurBody,334,0.637500,0.155689,0.970060,35.313246
BlurCar1,742,0.857379,0.001348,0.995957,52.616882
BlurCar2,585,0.822350,0.015385,0.993162,46.191705
BlurCar3,357,0.845168,0.002801,0.997199,59.027936
BlurCar4,380,0.725921,0.005263,1.000000,42.602620
BlurFace,493,0.771755,0.000000,1.000000,47.336661
BlurOwl,631,0.776347,0.007924,0.992076,59.582310
Board,698,0.587213,0.296562,0.703438,36.493706
Bolt,350,0.646929,0.008571,1.000000,86.477774
Bolt2,293,0.035154,0.989761,0.017065,146.889323
Box,1161,0.324677,0.606374,0.395349,59.211470
Boy,602,0.794601,0.026578,1.000000,97.989731
Car1,1020,0.403995,0.777451,1.000000,91.911193
Car2,913,0.406188,0.579409,0.420591,88.143469
Car24,3059,0.433516,0.827395,1.000000,117.471892
Car4,659,0.823748,0.000000,1.000000,80.941305
CarDark,393,0.888931,0.000000,1.000000,93.703296
CarScale,252,0.666766,0.289683,0.730159,97.603909
ClifBar,472,0.453972,0.610169,0.809322,123.146704
Coke,291,0.535309,0.378007,0.917526,60.521684
Couple,140,0.651964,0.214286,1.000000,101.049814
Coupon,327,0.916208,0.000000,1.000000,79.166809
Crossing,120,0.715208,0.050000,1.000000,125.084719
Crowds,347,0.629683,0.017291,1.000000,114.710850
Dancer,225,0.716111,0.000000,1.000000,79.326421
Dancer2,150,0.717000,0.000000,1.000000,68.124321
David,471,0.249522,0.889597,0.248408,64.333612
David2,537,0.739432,0.111732,1.000000,172.279912
David3,252,0.777877,0.000000,1.000000,57.325514
Deer,71,0.808451,0.000000,1.000000,62.408607
Diving,215,0.266744,0.813953,0.390698,109.609545
Dog,127,0.485039,0.614173,1.000000,67.687898
Dog1,1350,0.701815,0.000741,1.000000,119.159169
Doll,3872,0.741264,0.006973,0.987603,69.959852
DragonBaby,113,0.133186,0.876106,0.132743,182.449401
Dudek,1145,0.783450,0.009607,0.826201,40.753647
FaceOcc1,892,0.571609,0.310538,0.707399,35.785773
FaceOcc2,812,0.709575,0.086207,1.000000,62.328174
Fish,476,0.782668,0.000000,1.000000,64.597030
FleetFace,707,0.590064,0.367751,0.560113,44.258476
Football,362,0.585497,0.215470,0.792818,101.984977
Football1,74,0.789865,0.000000,1.000000,90.522735
Freeman1,326,0.220552,0.846626,0.380368,168.692198
Freeman3,460,0.354076,0.669565,0.904348,149.084654
Freeman4,283,0.155212,0.840989,0.204947,291.709513
Girl,500,0.660850,0.118000,1.000000,89.297090
Girl2,1500,0.078950,0.930667,0.070000,49.547877
Gym,767,0.295502,0.975228,0.970013,61.741880
Human2,1128,0.352549,0.701241,0.485816,48.243200
Human3,1698,0.247100,0.674912,0.365135,57.685424
Human5,713,0.376718,0.657784,0.994390,88.585482
Human6,792,0.283302,0.773990,0.810606,101.047834
Human7,250,0.766500,0.004000,1.000000,69.704539
Human8,128,0.531055,0.617188,1.000000,68.176924
Human9,305,0.421803,0.714754,1.000000,32.708424
Ironman,166,0.104066,0.909639,0.114458,46.364379
Jogging,307,0.595765,0.058632,0.977199,61.091971
Jump,122,0.074590,0.942623,0.057377,50.019680
Jumping,313,0.670607,0.012780,0.990415,164.995181
KiteSurf,84,0.334821,0.619048,0.404762,112.559752
Lemming,1336,0.457541,0.641467,0.797156,64.589211
Liquor,1741,0.337938,0.573234,0.428489,59.032363
Man,134,0.850933,0.000000,1.000000,113.694377
Matrix,100,0.035250,0.990000,0.010000,105.173074
Mhyang,1490,0.794077,0.000671,1.000000,82.099198
MotorRolling,164,0.106555,0.920732,0.054878,55.244001
MountainBike,228,0.563925,0.337719,1.000000,69.562547
Panda,1000,0.365025,0.702000,0.781000,100.905240
RedTeam,1918,0.517505,0.372263,1.000000,83.919214
Rubik,1997,0.370443,0.837757,0.322484,69.507168
Shaking,365,0.037260,0.986301,0.013699,127.423917
Singer1,351,0.807123,0.000000,1.000000,60.783687
Singer2,366,0.059904,0.964481,0.035519,74.322696
Skater,160,0.613125,0.150000,0.993750,84.090366
Skater2,435,0.545920,0.379310,0.641379,69.749788
Skating1,400,0.318250,0.570000,0.450000,98.287309
Skiing,81,0.082716,0.938272,0.098765,96.845237
Soccer,392,0.176467,0.867347,0.132653,66.128148
Subway,175,0.685714,0.005714,1.000000,138.386786
Surfer,376,0.522008,0.547872,1.000000,129.550679
Suv,945,0.237275,0.930159,0.528042,103.311564
Sylvester,1345,0.402416,0.867658,0.926394,86.282112
Tiger1,354,0.762218,0.025424,0.946328,65.998188
Tiger2,365,0.440822,0.591781,0.490411,75.361681
Toy,271,0.418266,0.535055,0.642066,125.646046
Trans,124,0.523992,0.604839,0.370968,39.324408
Trellis,569,0.595958,0.158172,1.000000,78.006289
Twinnings,472,0.711494,0.120763,0.889831,94.514506
Vase,271,0.362546,0.815498,0.678967,96.531505
Walking,412,0.672269,0.024272,1.000000,90.234093
Walking2,500,0.804750,0.000000,1.000000,75.096346
Woman,597,0.667965,0.082077,1.000000,48.616756
OVERALL,57120,0.512493,0.431338,0.760592,70.629843
