sequence,frames,auc,success50,precision20,fps
Basketball,725,0.491069,0.365517,0.867586,37.150396
Biker,142,0.271655,0.746479,0.464789,40.810615
Bird1,408,0.071017,0.955882,0.088235,190.551860
Bird2,99,0.611616,0.414141,0.585859,29.166693
BlurBody,334,0.637500,0.155689,0.970060,19.636312
BlurCar1,742,0.857379,0.001348,0.995957,28.328894
BlurCar2,585,0.822350,0.015385,0.993162,21.193514
BlurCar3,357,0.845168,0.002801,0.997199,23.376398
BlurCar4,380,0.725921,0.005263,1.000000,18.307040
BlurFace,493,0.771755,0.000000,1.000000,24.897920
BlurOwl,631,0.776347,0.007924,0.992076,39.624378
Board,698,0.587213,0.296562,0.703438,28.197687
Bolt,350,0.646929,0.008571,1.000000,35.196659
Bolt2,293,0.035154,0.989761,0.017065,49.559236
Box,1161,0.324677,0.606374,0.395349,23.145422
Boy,602,0.794601,0.026578,1.000000,49.807341
Car1,1020,0.403995,0.777451,1.000000,54.855963
Car2,913,0.406188,0.579409,0.420591,55.147627
Car24,3059,0.433516,0.827395,1.000000,38.545037
Car4,659,0.823748,0.000000,1.000000,47.945455
CarDark,393,0.888931,0.000000,1.000000,50.895431
CarScale,252,0.666766,0.289683,0.730159,62.683174
ClifBar,472,0.453972,0.610169,0.809322,83.857941
Coke,291,0.535309,0.378007,0.917526,50.312372
Couple,140,0.651964,0.214286,1.000000,33.821752
Coupon,327,0.916208,0.000000,1.000000,27.453236
Crossing,120,0.715208,0.050000,1.000000,42.258725
Crowds,347,0.629683,0.017291,1.000000,35.871772
Dancer,225,0.716111,0.000000,1.000000,26.692283
Dancer2,150,0.717000,0.000000,1.000000,22.859249
David,471,0.249522,0.889597,0.248408,23.438121
David2,537,0.739432,0.111732,1.000000,51.956404
David3,252,0.777877,0.000000,1.000000,22.689059
Deer,71,0.808451,0.000000,1.000000,23.035184
Diving,215,0.266744,0.813953,0.390698,40.336853
Dog,127,0.485039,0.614173,1.000000,27.008293
Dog1,1350,0.701815,0.000741,1.000000,39.011130
Doll,3872,0.741264,0.006973,0.987603,39.189541
DragonBaby,113,0.133186,0.876106,0.132743,175.584167
Dudek,1145,0.783450,0.009607,0.826201,41.747830
FaceOcc1,892,0.571609,0.310538,0.707399,40.784892
FaceOcc2,812,0.709575,0.086207,1.000000,78.759286
Fish,476,0.782668,0.000000,1.000000,25.152573
FleetFace,707,0.590064,0.367751,0.560113,18.968181
Football,362,0.585497,0.215470,0.792818,43.547226
Football1,74,0.789865,0.000000,1.000000,46.392230
Freeman1,326,0.220552,0.846626,0.380368,64.363695
Freeman3,460,0.354076,0.669565,0.904348,64.074273
Freeman4,283,0.155212,0.840989,0.204947,78.600352
Girl,500,0.660850,0.118000,1.000000,34.538338
Girl2,1500,0.078950,0.930667,0.070000,23.251497
Gym,767,0.295502,0.975228,0.970013,42.552331
Human2,1128,0.352549,0.701241,0.485816,40.805154
Human3,1698,0.247100,0.674912,0.365135,67.103005
Human4_2,667,0.571214,0.181409,0.863568,31.427479
Human5,713,0.376718,0.657784,0.994390,30.876962
Human6,792,0.283302,0.773990,0.810606,40.019430
Human7,250,0.766500,0.004000,1.000000,35.804769
Human8,128,0.531055,0.617188,1.000000,39.022701
Human9,305,0.421803,0.714754,1.000000,37.843522
Ironman,166,0.104066,0.909639,0.114458,39.798790
Jogging_1,307,0.595765,0.058632,0.977199,29.965572
Jogging_2,307,0.730945,0.000000,1.000000,28.894339
Jogging,307,0.595765,0.058632,0.977199,30.094104
Jump,122,0.074590,0.942623,0.057377,22.692291
Jumping,313,0.670607,0.012780,0.990415,56.772203
KiteSurf,84,0.334821,0.619048,0.404762,41.156653
Lemming,1336,0.457541,0.641467,0.797156,29.122023
Liquor,1741,0.337938,0.573234,0.428489,34.253514
Man,134,0.850933,0.000000,1.000000,69.663225
Matrix,100,0.035250,0.990000,0.010000,66.629248
Mhyang,1490,0.794077,0.000671,1.000000,62.852713
MotorRolling,164,0.106555,0.920732,0.054878,26.792651
MountainBike,228,0.563925,0.337719,1.000000,31.426486
Panda,1000,0.365025,0.702000,0.781000,39.757454
RedTeam,1918,0.517505,0.372263,1.000000,35.933789
Rubik,1997,0.370443,0.837757,0.322484,50.856356
Shaking,365,0.037260,0.986301,0.013699,113.073250
Singer1,351,0.807123,0.000000,1.000000,26.406639
Singer2,366,0.059904,0.964481,0.035519,30.520192
Skater,160,0.613125,0.150000,0.993750,33.478650
Skater2,435,0.545920,0.379310,0.641379,28.135066
Skating1,400,0.318250,0.570000,0.450000,42.819436
Skating2_1,473,0.333140,0.720930,0.405920,24.375337
Skating2_2,473,0.509091,0.443975,0.429175,21.760796
Skiing,81,0.082716,0.938272,0.098765,34.669935
Soccer,392,0.176467,0.867347,0.132653,27.089523
Subway,175,0.685714,0.005714,1.000000,47.488433
Surfer,376,0.522008,0.547872,1.000000,45.150444
Suv,945,0.237275,0.930159,0.528042,42.861224
Sylvester,1345,0.402416,0.867658,0.926394,31.877973
Tiger1,354,0.762218,0.025424,0.946328,27.633510
Tiger2,365,0.440822,0.591781,0.490411,32.900912
Toy,271,0.418266,0.535055,0.642066,53.921089
Trans,124,0.523992,0.604839,0.370968,19.913219
Trellis,569,0.595958,0.158172,1.000000,40.729403
Twinnings,472,0.711494,0.120763,0.889831,34.441768
Vase,271,0.362546,0.815498,0.678967,35.231201
Walking,412,0.672269,0.024272,1.000000,35.395786
Walking2,500,0.804750,0.000000,1.000000,30.718983
Woman,597,0.667965,0.082077,1.000000,28.346263
OVERALL,59347,0.513258,0.426778,0.758640,36.043548
